,Title,Artist,Year
2414,Smack That,Akon,2007
2415,This Is Why I'm Hot,Mims,2007
2416,It's Not Over,Daughtry,2007
2417,The Way I Are,Timbaland,2007
2418,Fergalicious,Fergie,2007
2419,Crank That (Soulja Boy),Soulja Boy Tell 'Em,2007
2420,Give It to Me,Timbaland,2007
2421,What Goes Around... Comes Around,Justin Timberlake,2007
2422,Cupid's Chokehold,Gym Class Heroes,2007
2423,How to Save a Life,The Fray,2007
2424,Home,Daughtry,2007
2425,My Love,Justin Timberlake,2007
2426,Stronger,Kanye West,2007
2427,We Fly High,Jim Jones,2007
2428,U + Ur Hand,Pink,2007
2429,Walk It Out,Unk,2007
2430,Beautiful Girls,Sean Kingston,2007
2431,"This Ain't a Scene, It's an Arms Race",Fall Out Boy,2007
2432,Bartender,T-Pain,2007
2433,"Pop, Lock & Drop It",Huey,2007
2434,Runaway Love,Ludacris,2007
2435,Rockstar,Nickelback,2007
2436,Thnks fr th Mmrs,Fall Out Boy,2007
2437,What I've Done,Linkin Park,2007
2438,Summer Love,Justin Timberlake,2007
2439,You,Lloyd,2007
2440,Wait for You,Elliott Yamin,2007
2441,Last Night,Diddy,2007
2442,Make It Rain,Fat Joe,2007
2443,Make Me Better,Fabolous,2007
2444,Ice Box,Omarion,2007
2445,Lips of an Angel,Hinder,2007
2446,Waiting on the World to Change,John Mayer,2007
2447,Lost Without U,Robin Thicke,2007
2448,I'm a Flirt,R. Kelly,2007
2449,If Everyone Cared,Nickelback,2007
2450,Get It Shawty,Lloyd,2007
2451,Face Down,The Red Jumpsuit Apparatus,2007
2452,The Way I Live,Baby Boy da Prince,2007
2453,Shortie Like Mine,Bow Wow,2007
2454,It Ends Tonight,The All-American Rejects,2007
2455,A Bay Bay,Hurricane Chris,2007
2456,Because of You,Ne-Yo,2007
2457,I Tried,Bone Thugs-n-Harmony,2007
2458,Welcome to the Black Parade,My Chemical Romance,2007
2459,Shawty,Plies,2007
2460,Chasing Cars,Snow Patrol,2007
2461,Beautiful Liar,Beyoncé and Shakira,2007
2462,SexyBack,Justin Timberlake,2007
2463,Keep Holding On,Avril Lavigne,2007
2464,Let It Go,Keyshia Cole,2007
2465,Apologize,Timbaland,2007
2466,Bubbly,Colbie Caillat,2007
2467,Like a Boy,Ciara,2007
2468,Who Knew,Pink,2007
2469,Never Again,Kelly Clarkson,2007
2470,Promise,Ciara,2007
2471,Bed,J. Holiday,2007
2472,Throw Some D's,Rich Boy,2007
2473,Rehab,Amy Winehouse,2007
2474,Big Shit Poppin' (Do It),T.I.,2007
2475,No One,Alicia Keys,2007
2476,The Great Escape,Boys Like Girls,2007
2477,2 Step,Unk,2007
2478,Walk Away (Remember Me),Paula DeAnda,2007
2479,Go Getta,Young Jeezy,2007
2480,Here (In Your Arms),Hellogoodbye,2007
2481,On the Hotline,Pretty Ricky,2007
2482,Wind It Up,Gwen Stefani,2007
2483,Cyclone,Baby Bash,2007
2484,Break It Off,Rihanna,2007
2485,First Time,Lifehouse,2007
2486,Ayo Technology,50 Cent,2007
2487,Outta My System,Bow Wow,2007
2488,Teardrops on My Guitar,Taylor Swift,2007
2489,Shut Up and Drive,Rihanna,2007
2490,Snow (Hey Oh),Red Hot Chili Peppers,2007
2491,Money Maker,Ludacris,2007
2492,Kiss Kiss,Chris Brown,2007
2493,Far Away,Nickelback,2007
2494,Rock Yo Hips,Crime Mob and Lil' Scrappy,2007
2495,LoveStoned,Justin Timberlake,2007
2496,Better than Me,Hinder,2007
2497,Paralyzer,Finger Eleven,2007
2498,That's That,Snoop Dogg,2007
2499,Same Girl,R. Kelly,2007
2500,Low,Flo Rida,2008
2501,Bleeding Love,Leona Lewis,2008
2502,No One,Alicia Keys,2008
2503,Lollipop,Lil Wayne,2008
2504,Apologize,Timbaland,2008
2505,No Air,Jordin Sparks and Chris Brown,2008
2506,Love Song,Sara Bareilles,2008
2507,Love in This Club,Usher,2008
2508,With You,Chris Brown,2008
2509,Forever,Chris Brown,2008
2510,Sexy Can I,Ray J,2008
2511,Take a Bow,Rihanna,2008
2512,Viva la Vida,Coldplay,2008
2513,I Kissed a Girl,Katy Perry,2008
2514,Whatever You Like,T.I.,2008
2515,Disturbia,Rihanna,2008
2516,Don't Stop the Music,Rihanna,2008
2517,Pocketful of Sunshine,Natasha Bedingfield,2008
2518,Kiss Kiss,Chris Brown,2008
2519,Closer,Ne-Yo,2008
2520,Bubbly,Colbie Caillat,2008
2521,Touch My Body,Mariah Carey,2008
2522,4 Minutes,Madonna,2008
2523,So What,Pink,2008
2524,Paralyzer,Finger Eleven,2008
2525,Clumsy,Fergie,2008
2526,I'm Yours,Jason Mraz,2008
2527,Leavin',Jesse McCartney,2008
2528,Dangerous,Kardinal Offishall,2008
2529,Tattoo,Jordin Sparks,2008
2530,See You Again,Miley Cyrus,2008
2531,Shake It,Metro Station,2008
2532,Stop and Stare,OneRepublic,2008
2533,Take You There,Sean Kingston,2008
2534,Paper Planes,M.I.A.,2008
2535,Hot n Cold,Katy Perry,2008
2536,Live Your Life,T.I.,2008
2537,Bust It Baby (Part 2),Plies,2008
2538,American Boy,Estelle,2008
2539,Got Money,Lil Wayne,2008
2540,Our Song,Taylor Swift,2008
2541,Damaged,Danity Kane,2008
2542,A Milli,Lil Wayne,2008
2543,Sorry,Buckcherry,2008
2544,Independent,Webbie,2008
2545,Can't Believe It,T-Pain,2008
2546,Like You'll Never See Me Again,Alicia Keys,2008
2547,Teardrops on My Guitar,Taylor Swift,2008
2548,When I Grow Up,Pussycat Dolls,2008
2549,Sexual Eruption,Snoop Dogg,2008
2550,What You Got,Colby O'Donis,2008
2551,It's Not My Time,3 Doors Down,2008
2552,Better in Time,Leona Lewis,2008
2553,Crank That (Soulja Boy),Soulja Boy Tell 'Em,2008
2554,Shadow of the Day,Linkin Park,2008
2555,Sweetest Girl (Dollar Bill),Wyclef Jean,2008
2556,Miss Independent,Ne-Yo,2008
2557,Fall for You,Secondhand Serenade,2008
2558,In the Ayer,Flo Rida,2008
2559,Say,John Mayer,2008
2560,One Step at a Time,Jordin Sparks,2008
2561,Hate That I Love You,Rihanna,2008
2562,Superstar,Lupe Fiasco,2008
2563,Suffocate,J. Holiday,2008
2564,Let It Rock,Kevin Rudolf,2008
2565,Get Like Me,David Banner,2008
2566,Realize,Colbie Caillat,2008
2567,Put On,Young Jeezy,2008
2568,The Time of My Life,David Cook,2008
2569,Lolli Lolli (Pop That Body),Three 6 Mafia,2008
2570,Cyclone,Baby Bash,2008
2571,Love Like This,Natasha Bedingfield,2008
2572,Burnin' Up,Jonas Brothers,2008
2573,Love Lockdown,Kanye West,2008
2574,I Luv Your Girl,The-Dream,2008
2575,Crush,David Archuleta,2008
2576,Hypnotized,Plies,2008
2577,Big Girls Don't Cry,Fergie,2008
2578,Good Life,Kanye West,2008
2579,Womanizer,Britney Spears,2008
2580,Love Story,Taylor Swift,2008
2581,Just Fine,Mary J. Blige,2008
2582,Piece of Me,Britney Spears,2008
2583,The Boss,Rick Ross,2008
2584,All Summer Long,Kid Rock,2008
2585,Can't Help but Wait,Trey Songz,2008
2586,In Love with a Girl,Gavin DeGraw,2008
2587,My Life,The Game,2008
2588,I Remember,Keyshia Cole,2008
2589,Flashing Lights,Kanye West,2008
2590,Mrs. Officer,Lil Wayne,2008
2591,7 Things,Miley Cyrus,2008
2592,You're Gonna Miss This,Trace Adkins,2008
2593,Love Remains the Same,Gavin Rossdale,2008
2594,Feels Like Tonight,Daughtry,2008
2595,The Way I Are,Timbaland,2008
2596,Addicted,Saving Abel,2008
2597,Into the Night,Santana,2008
2598,Heaven Sent,Keyshia Cole,2008
2599,She Got It,2 Pistols,2008
2600,Boom Boom Pow,The Black Eyed Peas,2009
2601,Poker Face,Lady Gaga,2009
2602,Just Dance,Lady Gaga,2009
2603,I Gotta Feeling,The Black Eyed Peas,2009
2604,Love Story,Taylor Swift,2009
2605,Right Round,Flo Rida,2009
2606,I'm Yours,Jason Mraz,2009
2607,Single Ladies (Put a Ring on It),Beyoncé,2009
2608,Heartless,Kanye West,2009
2609,Gives You Hell,The All-American Rejects,2009
2610,You Belong with Me,Taylor Swift,2009
2611,Dead and Gone,T.I.,2009
2612,You Found Me,The Fray,2009
2613,Use Somebody,Kings of Leon,2009
2614,Knock You Down,Keri Hilson,2009
2615,Blame It,Jamie Foxx,2009
2616,I Know You Want Me (Calle Ocho),Pitbull,2009
2617,Live Your Life,T.I.,2009
2618,Kiss Me thru the Phone,Soulja Boy Tell 'Em,2009
2619,Down,Jay Sean,2009
2620,The Climb,Miley Cyrus,2009
2621,Best I Ever Had,Drake,2009
2622,My Life Would Suck Without You,Kelly Clarkson,2009
2623,Halo,Beyoncé,2009
2624,Hot n Cold,Katy Perry,2009
2625,Second Chance,Shinedown,2009
2626,Circus,Britney Spears,2009
2627,Day 'n' Nite,Kid Cudi,2009
2628,Party in the U.S.A.,Miley Cyrus,2009
2629,Don't Trust Me,3OH!3,2009
2630,Run This Town,Jay-Z,2009
2631,Let It Rock,Kevin Rudolf,2009
2632,Fire Burning,Sean Kingston,2009
2633,Whatcha Say,Jason Derulo,2009
2634,LoveGame,Lady Gaga,2009
2635,Waking Up in Vegas,Katy Perry,2009
2636,Birthday Sex,Jeremih,2009
2637,Sober,Pink,2009
2638,Womanizer,Britney Spears,2009
2639,Whatever You Like,T.I.,2009
2640,Obsessed,Mariah Carey,2009
2641,Mad,Ne-Yo,2009
2642,Good Girls Go Bad,Cobra Starship,2009
2643,Love Lockdown,Kanye West,2009
2644,So What,Pink,2009
2645,Hotel Room Service,Pitbull,2009
2646,Crack a Bottle,"Eminem, Dr. Dre and 50 Cent",2009
2647,If I Were a Boy,Beyoncé,2009
2648,Turnin Me On,Keri Hilson,2009
2649,I Hate This Part,Pussycat Dolls,2009
2650,Gotta Be Somebody,Nickelback,2009
2651,Please Don't Leave Me,Pink,2009
2652,Paparazzi,Lady Gaga,2009
2653,Beautiful,Akon,2009
2654,Viva la Vida,Coldplay,2009
2655,Right Now (Na Na Na),Akon,2009
2656,Battlefield,Jordin Sparks,2009
2657,Sugar,Flo Rida,2009
2658,Miss Independent,Ne-Yo,2009
2659,Fireflies,Owl City,2009
2660,New Divide,Linkin Park,2009
2661,Empire State of Mind,Jay-Z,2009
2662,No Surprise,Daughtry,2009
2663,She Wolf,Shakira,2009
2664,Break Up,Mario,2009
2665,Sweet Dreams,Beyoncé,2009
2666,Every Girl,Young Money,2009
2667,Fallin' for You,Colbie Caillat,2009
2668,Untouched,The Veronicas,2009
2669,If Today Was Your Last Day,Nickelback,2009
2670,Throw It in the Bag,Fabolous,2009
2671,Love Drunk,Boys Like Girls,2009
2672,I Love College,Asher Roth,2009
2673,If U Seek Amy,Britney Spears,2009
2674,Big Green Tractor,Jason Aldean,2009
2675,White Horse,Taylor Swift,2009
2676,Disturbia,Rihanna,2009
2677,21 Guns,Green Day,2009
2678,Turn My Swag On,Soulja Boy Tell 'Em,2009
2679,Rockin' That Thang,The-Dream,2009
2680,Chicken Fried,Zac Brown Band,2009
2681,Diva,Beyoncé,2009
2682,Replay,Iyaz,2009
2683,Then,Brad Paisley,2009
2684,Her Diamonds,Rob Thomas,2009
2685,How Do You Sleep?,Jesse McCartney,2009
2686,3,Britney Spears,2009
2687,Forever,Drake,2009
2688,One Time,Justin Bieber,2009
2689,I Run to You,Lady Antebellum,2009
2690,I Do Not Hook Up,Kelly Clarkson,2009
2691,Green Light,John Legend,2009
2692,People Are Crazy,Billy Currington,2009
2693,Whatever It Is,Zac Brown Band,2009
2694,Already Gone,Kelly Clarkson,2009
2695,Goodbye,Kristinia DeBarge,2009
2696,Say Hey (I Love You),Michael Franti & Spearhead,2009
2697,Pop Champagne,Jim Jones,2009
2698,Pretty Wings,Maxwell,2009
2699,Never Say Never,The Fray,2009
2700,Tik Tok,Kesha,2010
2701,Need You Now,Lady Antebellum,2010
2702,"Hey, Soul Sister",Train,2010
2703,California Gurls,Katy Perry,2010
2704,OMG,Usher,2010
2705,Airplanes,B.o.B,2010
2706,Love the Way You Lie,Eminem,2010
2707,Bad Romance,Lady Gaga,2010
2708,Dynamite,Taio Cruz,2010
2709,Break Your Heart,Taio Cruz,2010
2710,Nothin' on You,B.o.B,2010
2711,I Like It,Enrique Iglesias,2010
2712,BedRock,Young Money,2010
2713,In My Head,Jason Derulo,2010
2714,Rude Boy,Rihanna,2010
2715,Telephone,Lady Gaga,2010
2716,Teenage Dream,Katy Perry,2010
2717,Just the Way You Are,Bruno Mars,2010
2718,Cooler Than Me,Mike Posner,2010
2719,Imma Be,The Black Eyed Peas,2010
2720,Empire State of Mind,Jay-Z,2010
2721,DJ Got Us Fallin' in Love,Usher,2010
2722,Billionaire,Travie McCoy,2010
2723,Not Afraid,Eminem,2010
2724,Replay,Iyaz,2010
2725,Sexy Bitch,David Guetta,2010
2726,Breakeven,The Script,2010
2727,Your Love Is My Drug,Kesha,2010
2728,I Gotta Feeling,The Black Eyed Peas,2010
2729,Fireflies,Owl City,2010
2730,Say Aah,Trey Songz,2010
2731,Find Your Love,Drake,2010
2732,Alejandro,Lady Gaga,2010
2733,Ridin' Solo,Jason Derulo,2010
2734,Just a Dream,Nelly,2010
2735,How Low,Ludacris,2010
2736,Like a G6,Far East Movement,2010
2737,Carry Out,Timbaland,2010
2738,Haven't Met You Yet,Michael Bublé,2010
2739,Club Can't Handle Me,Flo Rida,2010
2740,Down,Jay Sean,2010
2741,Bulletproof,La Roux,2010
2742,Whatcha Say,Jason Derulo,2010
2743,Baby,Justin Bieber,2010
2744,Whataya Want from Me,Adam Lambert,2010
2745,Mine,Taylor Swift,2010
2746,Only Girl (In the World),Rihanna,2010
2747,Live Like We're Dying,Kris Allen,2010
2748,Hard,Rihanna,2010
2749,Young Forever,Jay-Z,2010
2750,Blah Blah Blah,Kesha,2010
2751,Bottoms Up,Trey Songz,2010
2752,Do You Remember,Jay Sean,2010
2753,All the Right Moves,OneRepublic,2010
2754,According to You,Orianthi,2010
2755,My Chick Bad,Ludacris,2010
2756,You Belong with Me,Taylor Swift,2010
2757,Meet Me Halfway,The Black Eyed Peas,2010
2758,Take It Off,Kesha,2010
2759,Over,Drake,2010
2760,Animal,Neon Trees,2010
2761,Misery,Maroon 5,2010
2762,Magic,B.o.B,2010
2763,Paparazzi,Lady Gaga,2010
2764,Tie Me Down,New Boyz,2010
2765,Your Love,Nicki Minaj,2010
2766,Party in the U.S.A.,Miley Cyrus,2010
2767,Deuces,Chris Brown,2010
2768,3,Britney Spears,2010
2769,Impossible,Shontelle,2010
2770,Forever,Drake,2010
2771,Two Is Better Than One,Boys Like Girls,2010
2772,My First Kiss,3OH!3,2010
2773,Already Gone,Kelly Clarkson,2010
2774,Rock That Body,The Black Eyed Peas,2010
2775,Secrets,OneRepublic,2010
2776,Naturally,Selena Gomez & the Scene,2010
2777,Un-Thinkable (I'm Ready),Alicia Keys,2010
2778,All I Do Is Win,DJ Khaled,2010
2779,I Made It (Cash Money Heroes),Kevin Rudolf,2010
2780,Stuck Like Glue,Sugarland,2010
2781,Hey Daddy (Daddy's Home),Usher,2010
2782,There Goes My Baby,Usher,2010
2783,Today Was a Fairytale,Taylor Swift,2010
2784,Say Something,Timbaland,2010
2785,Sweet Dreams,Beyoncé,2010
2786,Use Somebody,Kings of Leon,2010
2787,Undo It,Carrie Underwood,2010
2788,Eenie Meenie,Sean Kingston and Justin Bieber,2010
2789,Right Above It,Lil Wayne,2010
2790,The House That Built Me,Miranda Lambert,2010
2791,If I Die Young,The Band Perry,2010
2792,The Only Exception,Paramore,2010
2793,American Honey,Lady Antebellum,2010
2794,King of Anything,Sara Bareilles,2010
2795,Life After You,Daughtry,2010
2796,Smile,Uncle Kracker,2010
2797,Teach Me How to Dougie,Cali Swag District,2010
2798,Try Sleeping with a Broken Heart,Alicia Keys,2010
2799,"Lover, Lover",Jerrod Niemann,2010
2800,Rolling in the Deep,Adele,2011
2801,Party Rock Anthem,LMFAO,2011
2802,Firework,Katy Perry,2011
2803,E.T.,Katy Perry,2011
2804,Give Me Everything,Pitbull,2011
2805,Grenade,Bruno Mars,2011
2806,Fuck You,CeeLo Green,2011
2807,Super Bass,Nicki Minaj,2011
2808,Moves like Jagger,Maroon 5,2011
2809,Just Can't Get Enough,The Black Eyed Peas,2011
2810,On the Floor,Jennifer Lopez,2011
2811,S&M,Rihanna,2011
2812,Pumped Up Kicks,Foster the People,2011
2813,Last Friday Night (T.G.I.F.),Katy Perry,2011
2814,Just the Way You Are,Bruno Mars,2011
2815,Tonight (I'm Lovin' You),Enrique Iglesias,2011
2816,Raise Your Glass,Pink,2011
2817,Born This Way,Lady Gaga,2011
2818,F**kin' Perfect,Pink,2011
2819,What's My Name?,Rihanna,2011
2820,Look at Me Now,Chris Brown,2011
2821,Down on Me,Jeremih,2011
2822,How to Love,Lil Wayne,2011
2823,Someone Like You,Adele,2011
2824,Good Life,OneRepublic,2011
2825,The Lazy Song,Bruno Mars,2011
2826,Till the World Ends,Britney Spears,2011
2827,The Show Goes On,Lupe Fiasco,2011
2828,The Edge of Glory,Lady Gaga,2011
2829,We R Who We R,Kesha,2011
2830,Black and Yellow,Wiz Khalifa,2011
2831,Tonight Tonight,Hot Chelle Rae,2011
2832,Blow,Kesha,2011
2833,Lighters,Bad Meets Evil,2011
2834,If I Die Young,The Band Perry,2011
2835,Stereo Hearts,Gym Class Heroes,2011
2836,The Time (Dirty Bit),The Black Eyed Peas,2011
2837,Coming Home,Diddy – Dirty Money,2011
2838,Hey Baby (Drop It to the Floor),Pitbull,2011
2839,Only Girl (In the World),Rihanna,2011
2840,6 Foot 7 Foot,Lil Wayne,2011
2841,Just a Kiss,Lady Antebellum,2011
2842,Dirt Road Anthem,Jason Aldean,2011
2843,Dynamite,Taio Cruz,2011
2844,No Hands,Waka Flocka Flame,2011
2845,I Wanna Go,Britney Spears,2011
2846,I'm on One,DJ Khaled,2011
2847,You Make Me Feel...,Cobra Starship,2011
2848,Yeah 3x,Chris Brown,2011
2849,Moment 4 Life,Nicki Minaj,2011
2850,I Need a Doctor,Dr. Dre,2011
2851,Just a Dream,Nelly,2011
2852,Motivation,Kelly Rowland,2011
2853,Stereo Love,Edward Maya,2011
2854,Jar of Hearts,Christina Perri,2011
2855,Roll Up,Wiz Khalifa,2011
2856,Sexy and I Know It,LMFAO,2011
2857,Rocketeer,Far East Movement,2011
2858,All of the Lights,Kanye West,2011
2859,Hold It Against Me,Britney Spears,2011
2860,More,Usher,2011
2861,What the Hell,Avril Lavigne,2011
2862,Written in the Stars,Tinie Tempah,2011
2863,Bottoms Up,Trey Songz,2011
2864,DJ Got Us Fallin' in Love,Usher,2011
2865,For the First Time,The Script,2011
2866,Honey Bee,Blake Shelton,2011
2867,Don't You Wanna Stay,Jason Aldean,2011
2868,We Found Love,Rihanna,2011
2869,Pretty Girl Rock,Keri Hilson,2011
2870,Yoü and I,Lady Gaga,2011
2871,Like a G6,Far East Movement,2011
2872,Without You,David Guetta,2011
2873,Back to December,Taylor Swift,2011
2874,Teenage Dream,Katy Perry,2011
2875,Crazy Girl,Eli Young Band,2011
2876,Cheers (Drink to That),Rihanna,2011
2877,Who Says,Selena Gomez & the Scene,2011
2878,Barefoot Blue Jean Night,Jake Owen,2011
2879,Knee Deep,Zac Brown Band,2011
2880,Country Girl (Shake It for Me),Luke Bryan,2011
2881,Remind Me,Brad Paisley and Carrie Underwood,2011
2882,In the Dark,Dev,2011
2883,Backseat,New Boyz,2011
2884,Headlines,Drake,2011
2885,Best Thing I Never Had,Beyoncé,2011
2886,Don't Wanna Go Home,Jason Derulo,2011
2887,Where Them Girls At,David Guetta,2011
2888,She Ain't You,Chris Brown,2011
2889,Take a Back Road,Rodney Atkins,2011
2890,Please Don't Go,Mike Posner,2011
2891,Sure Thing,Miguel,2011
2892,Price Tag,Jessie J,2011
2893,God Gave Me You,Blake Shelton,2011
2894,She Will,Lil Wayne,2011
2895,Are You Gonna Kiss Me or Not,Thompson Square,2011
2896,Animal,Neon Trees,2011
2897,You and Tequila,Kenny Chesney,2011
2898,Colder Weather,Zac Brown Band,2011
2899,My Last,Big Sean,2011
2900,Happy,Pharrell Williams,2014
2901,Dark Horse,Katy Perry,2014
2902,All of Me,John Legend,2014
2903,Fancy,Iggy Azalea,2014
2904,Counting Stars,OneRepublic,2014
2905,Talk Dirty,Jason Derulo,2014
2906,Rude,Magic!,2014
2907,All About That Bass,Meghan Trainor,2014
2908,Problem,Ariana Grande,2014
2909,Stay with Me,Sam Smith,2014
2910,Timber,Pitbull,2014
2911,Pompeii,Bastille,2014
2912,Shake It Off,Taylor Swift,2014
2913,Am I Wrong,Nico & Vinz,2014
2914,Turn Down for What,DJ Snake and Lil Jon,2014
2915,The Monster,Eminem,2014
2916,Say Something,A Great Big World and Christina Aguilera,2014
2917,Team,Lorde,2014
2918,Let Her Go,Passenger,2014
2919,Royals,Lorde,2014
2920,Let It Go,Idina Menzel,2014
2921,Wake Me Up,Avicii,2014
2922,Demons,Imagine Dragons,2014
2923,Story of My Life,One Direction,2014
2924,Chandelier,Sia,2014
2925,Black Widow,Iggy Azalea,2014
2926,Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj",2014
2927,Latch,Disclosure,2014
2928,Maps,Maroon 5,2014
2929,Loyal,Chris Brown,2014
2930,Best Day of My Life,American Authors,2014
2931,Habits (Stay High),Tove Lo,2014
2932,Summer,Calvin Harris,2014
2933,Boom Clap,Charli XCX,2014
2934,Drunk in Love,Beyoncé,2014
2935,Anaconda,Nicki Minaj,2014
2936,Break Free,Ariana Grande,2014
2937,Bailando,Enrique Iglesias,2014
2938,Burn,Ellie Goulding,2014
2939,Wiggle,Jason Derulo,2014
2940,Rather Be,Clean Bandit,2014
2941,Don't Tell 'Em,Jeremih,2014
2942,Show Me,Kid Ink,2014
2943,Wrecking Ball,Miley Cyrus,2014
2944,Not a Bad Thing,Justin Timberlake,2014
2945,Roar,Katy Perry,2014
2946,Ain't It Fun,Paramore,2014
2947,The Man,Aloe Blacc,2014
2948,This Is How We Roll,Florida Georgia Line,2014
2949,Classic,MKTO,2014
2950,A Sky Full of Stars,Coldplay,2014
2951,Don't,Ed Sheeran,2014
2952,Na Na,Trey Songz,2014
2953,Hot Boy,Bobby Shmurda,2014
2954,"Hold On, We're Going Home",Drake,2014
2955,Sing,Ed Sheeran,2014
2956,Radioactive,Imagine Dragons,2014
2957,My Hitta,YG,2014
2958,Cool Kids,Echosmith,2014
2959,Hey Brother,Avicii,2014
2960,Trumpets,Jason Derulo,2014
2961,Animals,Maroon 5,2014
2962,Burnin' It Down,Jason Aldean,2014
2963,Play It Again,Luke Bryan,2014
2964,2 On,Tinashe,2014
2965,Dirt,Florida Georgia Line,2014
2966,Love Runs Out,OneRepublic,2014
2967,Bottoms Up,Brantley Gilbert,2014
2968,Shower,Becky G,2014
2969,Me and My Broken Heart,Rixton,2014
2970,Animals,Martin Garrix,2014
2971,Lifestyle,Rich Gang,2014
2972,American Kids,Kenny Chesney,2014
2973,Brave,Sara Bareilles,2014
2974,Sweater Weather,The Neighbourhood,2014
2975,Leave the Night On,Sam Hunt,2014
2976,New Flame,Chris Brown,2014
2977,Love Never Felt So Good,Michael Jackson and Justin Timberlake,2014
2978,Drunk on a Plane,Dierks Bentley,2014
2979,Birthday,Katy Perry,2014
2980,Bartender,Lady Antebellum,2014
2981,La La La,Naughty Boy,2014
2982,Blurred Lines,Robin Thicke,2014
2983,Do What U Want,Lady Gaga,2014
2984,Can't Remember to Forget You,Shakira,2014
2985,Amnesia,5 Seconds of Summer,2014
2986,No Mediocre,T.I.,2014
2987,Come with Me Now,KONGOS,2014
2988,Believe Me,Lil Wayne,2014
2989,23,Mike WiLL Made-It,2014
2990,Beachin',Jake Owen,2014
2991,White Walls,Macklemore & Ryan Lewis,2014
2992,She Looks So Perfect,5 Seconds of Summer,2014
2993,Stay the Night,Zedd,2014
2994,Partition,Beyoncé,2014
2995,Studio,ScHoolboy Q,2014
2996,0 to 100 / The Catch Up,Drake,2014
2997,I Don't Dance,Lee Brice,2014
2998,Somethin' Bad,Miranda Lambert and Carrie Underwood,2014
2999,Adore You,Miley Cyrus,2014
3000,Uptown Funk,Mark Ronson,2015
3001,Thinking Out Loud,Ed Sheeran,2015
3002,See You Again,Wiz Khalifa,2015
3003,Trap Queen,Fetty Wap,2015
3004,Sugar,Maroon 5,2015
3005,Shut Up and Dance,Walk the Moon,2015
3006,Blank Space,Taylor Swift,2015
3007,Watch Me,Silentó,2015
3008,Earned It,The Weeknd,2015
3009,The Hills,The Weeknd,2015
3010,Cheerleader,OMI,2015
3011,Can't Feel My Face,The Weeknd,2015
3012,Love Me Like You Do,Ellie Goulding,2015
3013,Take Me to Church,Hozier,2015
3014,Bad Blood,Taylor Swift,2015
3015,Lean On,Major Lazer and DJ Snake,2015
3016,Want to Want Me,Jason Derulo,2015
3017,Shake It Off,Taylor Swift,2015
3018,Where Are Ü Now,Skrillex and Diplo,2015
3019,Fight Song,Rachel Platten,2015
3020,679,Fetty Wap,2015
3021,Lips Are Movin,Meghan Trainor,2015
3022,Worth It,Fifth Harmony,2015
3023,Post to Be,Omarion,2015
3024,"Honey, I'm Good.",Andy Grammer,2015
3025,I'm Not the Only One,Sam Smith,2015
3026,Good for You,Selena Gomez,2015
3027,All About That Bass,Meghan Trainor,2015
3028,Style,Taylor Swift,2015
3029,Hotline Bling,Drake,2015
3030,Hey Mama,David Guetta,2015
3031,G.D.F.R.,Flo Rida,2015
3032,What Do You Mean?,Justin Bieber,2015
3033,Photograph,Ed Sheeran,2015
3034,Hello,Adele,2015
3035,Stitches,Shawn Mendes,2015
3036,Talking Body,Tove Lo,2015
3037,Jealous,Nick Jonas,2015
3038,Time of Our Lives,Pitbull and Ne-Yo,2015
3039,Locked Away,R. City,2015
3040,Somebody,Natalie La Rose,2015
3041,FourFiveSeconds,"Rihanna, Kanye West and Paul McCartney",2015
3042,Centuries,Fall Out Boy,2015
3043,My Way,Fetty Wap,2015
3044,Take Your Time,Sam Hunt,2015
3045,Animals,Maroon 5,2015
3046,I Don't Fuck with You,Big Sean,2015
3047,Bitch Better Have My Money,Rihanna,2015
3048,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,2015
3049,Nasty Freestyle,T-Wayne,2015
3050,Only,Nicki Minaj,2015
3051,Elastic Heart,Sia,2015
3052,Cool for the Summer,Demi Lovato,2015
3053,Renegades,X Ambassadors,2015
3054,I Don't Mind,Usher,2015
3055,Love Me Harder,Ariana Grande and The Weeknd,2015
3056,Wildest Dreams,Taylor Swift,2015
3057,Stay with Me,Sam Smith,2015
3058,You Know You Like It,DJ Snake and AlunaGeorge,2015
3059,Uma Thurman,Fall Out Boy,2015
3060,7/11,Beyoncé,2015
3061,The Heart Wants What It Wants,Selena Gomez,2015
3062,Girl Crush,Little Big Town,2015
3063,Slow Motion,Trey Songz,2015
3064,Drag Me Down,One Direction,2015
3065,Truffle Butter,Nicki Minaj,2015
3066,One Last Time,Ariana Grande,2015
3067,Chains,Nick Jonas,2015
3068,All Eyes on You,Meek Mill,2015
3069,No Type,Rae Sremmurd,2015
3070,Riptide,Vance Joy,2015
3071,Classic Man,Jidenna,2015
3072,Ex's & Oh's,Elle King,2015
3073,Dear Future Husband,Meghan Trainor,2015
3074,Marvin Gaye,Charlie Puth,2015
3075,Like I'm Gonna Lose You,Meghan Trainor,2015
3076,Habits (Stay High),Tove Lo,2015
3077,The Hanging Tree,James Newton Howard,2015
3078,CoCo,O.T. Genasis,2015
3079,Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj",2015
3080,Lay Me Down,Sam Smith,2015
3081,Tuesday,ILoveMakonnen,2015
3082,Hit the Quan,iLoveMemphis,2015
